η₀,m=0,m=1,m=1.5,m=2,m=2.5
0.8,0.3682561,0.8430874,1.0486324999999999,1.2416334000000002,1.4279481
0.81,0.37405350000000004,0.8466182999999999,1.0548054,1.2503502,1.4682067
0.82,0.3798509,0.8846388,1.1040108,1.2841884000000001,1.4792679
0.83,0.3856483,0.8878914,1.1099088,1.3452190000000002,1.5200757
0.84,0.3914659,0.9089486999999999,1.1610758,1.3808518,1.5931032999999999
0.85,0.39729359999999997,0.9302733,1.1902446,1.4170502,1.6361192
0.86,0.39513869999999995,0.9711150000000001,1.1956824,1.4538141999999998,1.646568
0.87,0.40087079999999997,0.9934461,1.2251052,1.4911438000000001,1.7242518
0.88,0.41481710000000005,0.99594,1.2549537,1.5290491000000002,1.7693786
0.89,0.41233499999999995,1.0389668,1.3111921000000002,1.5675301,1.7792775
0.9,0.41808690000000004,1.0411236,1.3425223,1.6065767,1.8617734
0.91,0.4238388,1.0856389,1.3742767,1.6462192,1.9090515000000001
0.92,0.4296006,1.0874457,1.4064856000000001,1.6530426,1.9182933
0.93,0.4441677,1.1334826,1.4106311999999999,1.7272515000000002,1.9660608
0.94,0.4500661,1.1349162,1.4722164,1.7336285999999999,2.0145410999999998
0.95,0.44693550000000004,1.1825080000000001,1.4759316,1.7747829,2.105446
0.96,0.461873,1.183545,1.5092450999999998,1.8532288000000001,2.1563803
0.97,0.4677815,1.232705,1.5741759,1.8588735,2.2080721
0.98,0.46431989999999995,1.233342,1.5772086,1.9402201000000001,2.2157487
0.99,0.4701312,1.2841140000000002,1.6118586,1.9453302,2.313708
1.0,0.4759425,1.2843171,1.6469540999999999,2.0296354,2.3676622
1.01,0.4914963,1.3102452,1.682505,2.0752672000000003,2.374416
0.02,0.4875849,1.3634697,1.7532186,2.0795049,2.4287967
1.03,0.493416,1.3905377,1.7904169,2.1683791,2.5341203
1.04,0.49925699999999995,1.4179087,1.8280798,2.2158693,2.591155
1.05,0.515302,1.4169573,1.8292527,2.2639856999999997,2.5965125999999996
1.06,0.5212711,1.4735698,1.8671004,2.2669316999999998,2.7075676
1.07,0.5272402,1.50187,1.9054035,2.3621072,2.7669455
1.08,0.5332194,1.5001767000000001,1.9834481000000002,2.4121123,2.7711387
1.09,0.5391986,1.5593996,1.9834155,2.4627739,2.830905
1.1,0.5343921,1.5886391,2.0639955999999997,2.5140617,2.9498767
1.11,0.5402627999999999,1.6181816,2.0633085,2.566006,3.0124462
1.12,0.5571665,1.6154126999999998,2.1464722000000003,2.6185967,3.0758338000000003
1.13,0.563176,1.6450038,2.1884377,2.6189261999999998,3.0778605
